,Driver,Team,GP,Year,Strategy
1160,VER,Red Bull Racing,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD-SOFT
1161,BOT,Mercedes,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD-SOFT
1162,PER,Red Bull Racing,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-SOFT
1163,NOR,McLaren,Portugal,2021,SOFT-SOFT-SOFT-MEDIUM
1164,LEC,Ferrari,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1165,OCO,Alpine,Portugal,2021,SOFT-SOFT-SOFT-HARD
1166,ALO,Alpine,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1167,RIC,McLaren,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1168,GAS,RB,Portugal,2021,SOFT-SOFT-SOFT-MEDIUM
1169,SAI,Ferrari,Portugal,2021,SOFT-SOFT-SOFT-MEDIUM
1170,GIO,Kick Sauber,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1171,VET,Aston Martin,Portugal,2021,SOFT-SOFT-SOFT-MEDIUM
1172,STR,Aston Martin,Portugal,2021,SOFT-SOFT-SOFT-MEDIUM
1173,TSU,RB,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1174,RUS,Williams,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1175,MSC,Haas F1 Team,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1176,LAT,Williams,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD
1177,MAZ,Haas F1 Team,Portugal,2021,MEDIUM-MEDIUM-MEDIUM-HARD-SOFT
1178,RAI,Kick Sauber,Portugal,2021,SOFT
1179,VER,Red Bull Racing,Styria,2021,MEDIUM-HARD
1180,HAM,Mercedes,Styria,2021,MEDIUM-HARD-SOFT
1181,BOT,Mercedes,Styria,2021,MEDIUM-HARD
1182,PER,Red Bull Racing,Styria,2021,SOFT-HARD-MEDIUM
1183,NOR,McLaren,Styria,2021,SOFT-HARD
1184,SAI,Ferrari,Styria,2021,MEDIUM-HARD
1185,LEC,Ferrari,Styria,2021,SOFT-HARD-MEDIUM
1186,STR,Aston Martin,Styria,2021,SOFT-HARD
1187,ALO,Alpine,Styria,2021,SOFT-HARD
1188,TSU,RB,Styria,2021,SOFT-HARD
1189,RAI,Kick Sauber,Styria,2021,HARD-MEDIUM
1190,VET,Aston Martin,Styria,2021,MEDIUM-HARD
1191,RIC,McLaren,Styria,2021,MEDIUM-HARD
1192,OCO,Alpine,Styria,2021,MEDIUM-HARD
1193,GIO,Kick Sauber,Styria,2021,MEDIUM-HARD
1194,MSC,Haas F1 Team,Styria,2021,MEDIUM-HARD
1195,LAT,Williams,Styria,2021,MEDIUM-SOFT-HARD
1196,MAZ,Haas F1 Team,Styria,2021,MEDIUM-HARD
1197,RUS,Williams,Styria,2021,MEDIUM-HARD-HARD
1198,GAS,RB,Styria,2021,SOFT
1199,LEC,Ferrari,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1200,SAI,Ferrari,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1201,HAM,Mercedes,Bahrain,2022,SOFT-HARD-MEDIUM-SOFT
1202,RUS,Mercedes,Bahrain,2022,SOFT-HARD-MEDIUM-SOFT
1203,MAG,Haas F1 Team,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1204,BOT,Kick Sauber,Bahrain,2022,SOFT-MEDIUM-MEDIUM-SOFT
1205,OCO,Alpine,Bahrain,2022,SOFT-MEDIUM-HARD-SOFT
1206,TSU,RB,Bahrain,2022,SOFT-MEDIUM-SOFT-SOFT
1207,ALO,Alpine,Bahrain,2022,SOFT-MEDIUM-HARD-SOFT
1208,ZHO,Kick Sauber,Bahrain,2022,SOFT-MEDIUM-MEDIUM-SOFT
1209,MSC,Haas F1 Team,Bahrain,2022,SOFT-MEDIUM-SOFT
1210,STR,Aston Martin,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1211,ALB,Williams,Bahrain,2022,SOFT-MEDIUM-MEDIUM-SOFT
1212,RIC,McLaren,Bahrain,2022,MEDIUM-SOFT-HARD-SOFT
1213,NOR,McLaren,Bahrain,2022,MEDIUM-HARD-SOFT-SOFT
1214,LAT,Williams,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1215,HUL,Aston Martin,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1216,PER,Red Bull Racing,Bahrain,2022,SOFT-MEDIUM-SOFT-SOFT
1217,VER,Red Bull Racing,Bahrain,2022,SOFT-SOFT-MEDIUM-SOFT
1218,GAS,RB,Bahrain,2022,SOFT-MEDIUM-HARD
1219,LEC,Ferrari,Australia,2022,MEDIUM-HARD
1220,PER,Red Bull Racing,Australia,2022,MEDIUM-HARD
1221,RUS,Mercedes,Australia,2022,MEDIUM-HARD
1222,HAM,Mercedes,Australia,2022,MEDIUM-HARD
1223,NOR,McLaren,Australia,2022,MEDIUM-HARD
1224,RIC,McLaren,Australia,2022,MEDIUM-HARD
1225,OCO,Alpine,Australia,2022,MEDIUM-HARD
1226,BOT,Kick Sauber,Australia,2022,MEDIUM-HARD
1227,GAS,RB,Australia,2022,MEDIUM-HARD
1228,ALB,Williams,Australia,2022,HARD-SOFT
1229,ZHO,Kick Sauber,Australia,2022,MEDIUM-HARD
1230,STR,Aston Martin,Australia,2022,HARD-MEDIUM-HARD-HARD
1231,MSC,Haas F1 Team,Australia,2022,MEDIUM-HARD
1232,MAG,Haas F1 Team,Australia,2022,HARD-MEDIUM
1233,TSU,RB,Australia,2022,MEDIUM-HARD
1234,LAT,Williams,Australia,2022,MEDIUM-HARD-HARD
1235,ALO,Alpine,Australia,2022,HARD-MEDIUM-MEDIUM
1236,VER,Red Bull Racing,Australia,2022,MEDIUM-HARD
1237,VET,Aston Martin,Australia,2022,HARD
1238,SAI,Ferrari,Australia,2022,HARD
1239,VER,Red Bull Racing,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1240,PER,Red Bull Racing,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1241,LEC,Ferrari,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1242,OCO,Alpine,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1243,HAM,Mercedes,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1244,VET,Aston Martin,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1245,ALO,Alpine,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE-INTERMEDIATE
1246,RUS,Mercedes,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1247,LAT,Williams,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1248,NOR,McLaren,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1249,RIC,McLaren,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1250,STR,Aston Martin,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE-INTERMEDIATE
1251,TSU,RB,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE-INTERMEDIATE
1252,MAG,Haas F1 Team,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1253,BOT,Kick Sauber,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1254,ZHO,Kick Sauber,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE-INTERMEDIATE
1255,MSC,Haas F1 Team,Japan,2022,INTERMEDIATE-WET-INTERMEDIATE
1256,GAS,RB,Japan,2022,INTERMEDIATE-WET-WET-INTERMEDIATE-INTERMEDIATE
1257,SAI,Ferrari,Japan,2022,INTERMEDIATE
1258,ALB,Williams,Japan,2022,INTERMEDIATE
1259,PER,Red Bull Racing,Monaco,2022,INTERMEDIATE-INTERMEDIATE-HARD-MEDIUM
1260,SAI,Ferrari,Monaco,2022,HARD-HARD-HARD
1261,VER,Red Bull Racing,Monaco,2022,INTERMEDIATE-INTERMEDIATE-HARD-MEDIUM
1262,LEC,Ferrari,Monaco,2022,INTERMEDIATE-INTERMEDIATE-HARD-HARD
1263,RUS,Mercedes,Monaco,2022,HARD-HARD-MEDIUM
1264,NOR,McLaren,Monaco,2022,INTERMEDIATE-INTERMEDIATE-HARD-HARD-MEDIUM
1265,ALO,Alpine,Monaco,2022,HARD-HARD-MEDIUM
1266,HAM,Mercedes,Monaco,2022,INTERMEDIATE-INTERMEDIATE-HARD-MEDIUM
1267,BOT,Kick Sauber,Monaco,2022,HARD-HARD-HARD
1268,VET,Aston Martin,Monaco,2022,INTERMEDIATE-HARD-HARD-HARD
1269,GAS,RB,Monaco,2022,INTERMEDIATE-HARD-HARD-HARD
1270,OCO,Alpine,Monaco,2022,HARD-HARD-MEDIUM
1271,RIC,McLaren,Monaco,2022,HARD-HARD-HARD
1272,STR,Aston Martin,Monaco,2022,WET-INTERMEDIATE-HARD-HARD-HARD
1273,LAT,Williams,Monaco,2022,INTERMEDIATE-HARD-MEDIUM-MEDIUM-MEDIUM
1274,ZHO,Kick Sauber,Monaco,2022,HARD-HARD-MEDIUM
1275,TSU,RB,Monaco,2022,INTERMEDIATE-HARD-HARD-MEDIUM-SOFT
1276,ALB,Williams,Monaco,2022,HARD-HARD-MEDIUM-MEDIUM
1277,MSC,Haas F1 Team,Monaco,2022,INTERMEDIATE-HARD-HARD
1278,MAG,Haas F1 Team,Monaco,2022,WET
1279,VER,Red Bull Racing,Spain,2022,SOFT-MEDIUM-SOFT-MEDIUM
1280,PER,Red Bull Racing,Spain,2022,SOFT-MEDIUM-MEDIUM-SOFT
1281,RUS,Mercedes,Spain,2022,SOFT-MEDIUM-MEDIUM-SOFT
1282,SAI,Ferrari,Spain,2022,SOFT-MEDIUM-MEDIUM-SOFT
1283,HAM,Mercedes,Spain,2022,MEDIUM-SOFT-MEDIUM-SOFT
1284,BOT,Kick Sauber,Spain,2022,SOFT-MEDIUM-MEDIUM
1285,OCO,Alpine,Spain,2022,SOFT-MEDIUM-SOFT-SOFT
1286,NOR,McLaren,Spain,2022,SOFT-MEDIUM-SOFT-SOFT
1287,ALO,Alpine,Spain,2022,SOFT-MEDIUM-SOFT-SOFT
1288,TSU,RB,Spain,2022,SOFT-MEDIUM-SOFT-SOFT
1289,VET,Aston Martin,Spain,2022,SOFT-SOFT-MEDIUM
1290,RIC,McLaren,Spain,2022,SOFT-SOFT-MEDIUM-SOFT
1291,GAS,RB,Spain,2022,SOFT-MEDIUM-SOFT-SOFT
1292,MSC,Haas F1 Team,Spain,2022,SOFT-SOFT-MEDIUM
1293,STR,Aston Martin,Spain,2022,SOFT-SOFT-MEDIUM-SOFT
1294,LAT,Williams,Spain,2022,SOFT-MEDIUM-SOFT-SOFT
1295,MAG,Haas F1 Team,Spain,2022,SOFT-MEDIUM-HARD
1296,ALB,Williams,Spain,2022,SOFT-MEDIUM-SOFT-MEDIUM-SOFT
1297,ZHO,Kick Sauber,Spain,2022,SOFT-MEDIUM
1298,LEC,Ferrari,Spain,2022,SOFT-MEDIUM
1299,VER,Red Bull Racing,Canada,2022,MEDIUM-HARD-HARD
1300,SAI,Ferrari,Canada,2022,MEDIUM-HARD-HARD
1301,HAM,Mercedes,Canada,2022,MEDIUM-HARD-HARD
1302,RUS,Mercedes,Canada,2022,MEDIUM-HARD-HARD
1303,LEC,Ferrari,Canada,2022,HARD-MEDIUM
1304,OCO,Alpine,Canada,2022,MEDIUM-HARD-MEDIUM
1305,BOT,Kick Sauber,Canada,2022,HARD-MEDIUM
1306,ZHO,Kick Sauber,Canada,2022,MEDIUM-HARD-HARD
1307,ALO,Alpine,Canada,2022,MEDIUM-HARD-MEDIUM
1308,STR,Aston Martin,Canada,2022,HARD-MEDIUM
1309,RIC,McLaren,Canada,2022,MEDIUM-HARD-HARD
1310,VET,Aston Martin,Canada,2022,MEDIUM-HARD-HARD
1311,ALB,Williams,Canada,2022,MEDIUM-HARD-HARD
1312,GAS,RB,Canada,2022,MEDIUM-HARD-HARD
1313,NOR,McLaren,Canada,2022,HARD-HARD-MEDIUM
1314,LAT,Williams,Canada,2022,MEDIUM-HARD-HARD
1315,MAG,Haas F1 Team,Canada,2022,MEDIUM-HARD
1316,TSU,RB,Canada,2022,MEDIUM-HARD
1317,MSC,Haas F1 Team,Canada,2022,MEDIUM
1318,PER,Red Bull Racing,Canada,2022,HARD
1319,LEC,Ferrari,Austria,2022,MEDIUM-HARD-HARD-MEDIUM
1320,VER,Red Bull Racing,Austria,2022,MEDIUM-HARD-MEDIUM-MEDIUM
1321,HAM,Mercedes,Austria,2022,MEDIUM-MEDIUM-MEDIUM
1322,RUS,Mercedes,Austria,2022,MEDIUM-HARD-HARD
1323,OCO,Alpine,Austria,2022,MEDIUM-HARD-HARD
1324,MSC,Haas F1 Team,Austria,2022,MEDIUM-HARD-HARD
1325,NOR,McLaren,Austria,2022,MEDIUM-HARD-HARD
1326,MAG,Haas F1 Team,Austria,2022,MEDIUM-HARD-HARD
1327,RIC,McLaren,Austria,2022,MEDIUM-HARD-HARD
1328,ALO,Alpine,Austria,2022,HARD-MEDIUM-MEDIUM-MEDIUM
1329,BOT,Kick Sauber,Austria,2022,MEDIUM-HARD-HARD
1330,ALB,Williams,Austria,2022,MEDIUM-HARD-HARD
1331,STR,Aston Martin,Austria,2022,MEDIUM-MEDIUM-MEDIUM
1332,ZHO,Kick Sauber,Austria,2022,HARD-MEDIUM-MEDIUM
1333,GAS,RB,Austria,2022,MEDIUM-HARD-HARD
1334,TSU,RB,Austria,2022,HARD-HARD-HARD
1335,VET,Aston Martin,Austria,2022,HARD-MEDIUM-MEDIUM
1336,SAI,Ferrari,Austria,2022,MEDIUM-HARD-HARD
1337,LAT,Williams,Austria,2022,MEDIUM-HARD-HARD
1338,PER,Red Bull Racing,Austria,2022,MEDIUM-HARD
1339,SAI,Ferrari,Great Britain,2022,MEDIUM-MEDIUM-HARD-SOFT
1340,PER,Red Bull Racing,Great Britain,2022,MEDIUM-MEDIUM-MEDIUM-SOFT
1341,HAM,Mercedes,Great Britain,2022,MEDIUM-MEDIUM-HARD-SOFT
1342,LEC,Ferrari,Great Britain,2022,MEDIUM-MEDIUM-HARD
1343,ALO,Alpine,Great Britain,2022,MEDIUM-MEDIUM-HARD-SOFT
1344,NOR,McLaren,Great Britain,2022,MEDIUM-MEDIUM-HARD-SOFT
1345,VER,Red Bull Racing,Great Britain,2022,SOFT-MEDIUM-MEDIUM-HARD-SOFT
1346,MSC,Haas F1 Team,Great Britain,2022,MEDIUM-MEDIUM-HARD-SOFT
1347,VET,Aston Martin,Great Britain,2022,SOFT-SOFT-MEDIUM-MEDIUM
1348,MAG,Haas F1 Team,Great Britain,2022,SOFT-MEDIUM-MEDIUM
1349,STR,Aston Martin,Great Britain,2022,MEDIUM-MEDIUM-HARD-MEDIUM
1350,LAT,Williams,Great Britain,2022,SOFT-SOFT-MEDIUM-SOFT
1351,RIC,McLaren,Great Britain,2022,MEDIUM-MEDIUM-HARD-SOFT-SOFT
1352,TSU,RB,Great Britain,2022,MEDIUM-SOFT-HARD-SOFT
1353,OCO,Alpine,Great Britain,2022,MEDIUM-SOFT-HARD
1354,GAS,RB,Great Britain,2022,MEDIUM-SOFT-HARD
1355,BOT,Kick Sauber,Great Britain,2022,MEDIUM-MEDIUM
1356,RUS,Mercedes,Great Britain,2022,HARD
1357,ZHO,Kick Sauber,Great Britain,2022,MEDIUM
1358,ALB,Williams,Great Britain,2022,SOFT
1359,VER,Red Bull Racing,Hungary,2022,SOFT-MEDIUM-MEDIUM
1360,HAM,Mercedes,Hungary,2022,MEDIUM-MEDIUM-SOFT
1361,RUS,Mercedes,Hungary,2022,SOFT-MEDIUM-MEDIUM
1362,SAI,Ferrari,Hungary,2022,MEDIUM-MEDIUM-SOFT
1363,PER,Red Bull Racing,Hungary,2022,SOFT-MEDIUM-MEDIUM
1364,LEC,Ferrari,Hungary,2022,MEDIUM-MEDIUM-HARD-SOFT
1365,NOR,McLaren,Hungary,2022,SOFT-MEDIUM-HARD
1366,ALO,Alpine,Hungary,2022,MEDIUM-HARD
1367,OCO,Alpine,Hungary,2022,MEDIUM-HARD
1368,VET,Aston Martin,Hungary,2022,SOFT-MEDIUM-MEDIUM
1369,STR,Aston Martin,Hungary,2022,SOFT-MEDIUM-SOFT
1370,GAS,RB,Hungary,2022,SOFT-MEDIUM-SOFT
1371,ZHO,Kick Sauber,Hungary,2022,MEDIUM-HARD-SOFT
1372,MSC,Haas F1 Team,Hungary,2022,MEDIUM-HARD-MEDIUM
1373,RIC,McLaren,Hungary,2022,SOFT-MEDIUM-HARD
1374,MAG,Haas F1 Team,Hungary,2022,MEDIUM-HARD-MEDIUM-SOFT
1375,ALB,Williams,Hungary,2022,SOFT-MEDIUM-MEDIUM-SOFT
1376,LAT,Williams,Hungary,2022,MEDIUM-MEDIUM-SOFT-SOFT
1377,TSU,RB,Hungary,2022,SOFT-MEDIUM-SOFT-SOFT
1378,BOT,Kick Sauber,Hungary,2022,MEDIUM-HARD
1379,VER,Red Bull Racing,Belgium,2022,SOFT-MEDIUM-MEDIUM
1380,PER,Red Bull Racing,Belgium,2022,MEDIUM-MEDIUM-HARD
1381,SAI,Ferrari,Belgium,2022,SOFT-MEDIUM-HARD
1382,RUS,Mercedes,Belgium,2022,MEDIUM-MEDIUM-HARD
1383,ALO,Alpine,Belgium,2022,MEDIUM-MEDIUM-HARD
1384,LEC,Ferrari,Belgium,2022,SOFT-MEDIUM-MEDIUM-SOFT
1385,OCO,Alpine,Belgium,2022,MEDIUM-HARD-MEDIUM
1386,VET,Aston Martin,Belgium,2022,MEDIUM-HARD-MEDIUM
1387,GAS,RB,Belgium,2022,MEDIUM-HARD-MEDIUM
1388,ALB,Williams,Belgium,2022,MEDIUM-HARD-MEDIUM
1389,STR,Aston Martin,Belgium,2022,MEDIUM-MEDIUM-HARD
1390,NOR,McLaren,Belgium,2022,MEDIUM-HARD-MEDIUM
1391,TSU,RB,Belgium,2022,HARD-MEDIUM-MEDIUM
1392,ZHO,Kick Sauber,Belgium,2022,MEDIUM-MEDIUM-SOFT
1393,RIC,McLaren,Belgium,2022,MEDIUM-HARD-MEDIUM
1394,MAG,Haas F1 Team,Belgium,2022,MEDIUM-HARD-MEDIUM
1395,MSC,Haas F1 Team,Belgium,2022,MEDIUM-HARD-MEDIUM
1396,LAT,Williams,Belgium,2022,MEDIUM-MEDIUM-HARD-SOFT
1397,BOT,Kick Sauber,Belgium,2022,SOFT
1398,HAM,Mercedes,Belgium,2022,MEDIUM
1399,VER,Red Bull Racing,Azerbaijan,2022,MEDIUM-HARD-HARD
1400,PER,Red Bull Racing,Azerbaijan,2022,MEDIUM-HARD-HARD
1401,RUS,Mercedes,Azerbaijan,2022,MEDIUM-HARD-HARD
1402,HAM,Mercedes,Azerbaijan,2022,MEDIUM-HARD-HARD
1403,GAS,RB,Azerbaijan,2022,MEDIUM-HARD
1404,VET,Aston Martin,Azerbaijan,2022,MEDIUM-HARD
1405,ALO,Alpine,Azerbaijan,2022,MEDIUM-HARD
1406,RIC,McLaren,Azerbaijan,2022,HARD-MEDIUM
1407,NOR,McLaren,Azerbaijan,2022,MEDIUM-HARD
1408,OCO,Alpine,Azerbaijan,2022,HARD-MEDIUM
1409,BOT,Kick Sauber,Azerbaijan,2022,HARD-MEDIUM
1410,ALB,Williams,Azerbaijan,2022,MEDIUM-HARD-HARD
1411,TSU,RB,Azerbaijan,2022,MEDIUM-HARD-SOFT
1412,MSC,Haas F1 Team,Azerbaijan,2022,HARD-MEDIUM-HARD
1413,LAT,Williams,Azerbaijan,2022,MEDIUM-MEDIUM-HARD
1414,STR,Aston Martin,Azerbaijan,2022,HARD-MEDIUM
1415,MAG,Haas F1 Team,Azerbaijan,2022,MEDIUM-HARD
1416,ZHO,Kick Sauber,Azerbaijan,2022,MEDIUM-HARD
1417,LEC,Ferrari,Azerbaijan,2022,MEDIUM-HARD
1418,SAI,Ferrari,Azerbaijan,2022,MEDIUM
1419,PER,Red Bull Racing,Singapore,2022,INTERMEDIATE-MEDIUM
1420,LEC,Ferrari,Singapore,2022,INTERMEDIATE-MEDIUM
1421,SAI,Ferrari,Singapore,2022,INTERMEDIATE-MEDIUM
1422,NOR,McLaren,Singapore,2022,INTERMEDIATE-MEDIUM
1423,RIC,McLaren,Singapore,2022,INTERMEDIATE-SOFT
1424,STR,Aston Martin,Singapore,2022,INTERMEDIATE-MEDIUM
1425,VER,Red Bull Racing,Singapore,2022,INTERMEDIATE-MEDIUM-SOFT
1426,VET,Aston Martin,Singapore,2022,INTERMEDIATE-MEDIUM
1427,HAM,Mercedes,Singapore,2022,INTERMEDIATE-MEDIUM
1428,GAS,RB,Singapore,2022,INTERMEDIATE-MEDIUM
1429,BOT,Kick Sauber,Singapore,2022,INTERMEDIATE-SOFT
1430,MAG,Haas F1 Team,Singapore,2022,INTERMEDIATE-INTERMEDIATE-MEDIUM
1431,MSC,Haas F1 Team,Singapore,2022,INTERMEDIATE-MEDIUM-SOFT
1432,RUS,Mercedes,Singapore,2022,INTERMEDIATE-MEDIUM-MEDIUM-SOFT-SOFT
1433,TSU,RB,Singapore,2022,INTERMEDIATE-MEDIUM
1434,OCO,Alpine,Singapore,2022,INTERMEDIATE
1435,ALB,Williams,Singapore,2022,INTERMEDIATE
1436,ALO,Alpine,Singapore,2022,INTERMEDIATE
1437,LAT,Williams,Singapore,2022,INTERMEDIATE
1438,ZHO,Kick Sauber,Singapore,2022,INTERMEDIATE
1439,VER,Red Bull Racing,Austin,2022,MEDIUM-HARD-MEDIUM
1440,HAM,Mercedes,Austin,2022,MEDIUM-HARD-HARD
1441,LEC,Ferrari,Austin,2022,MEDIUM-HARD-MEDIUM
1442,PER,Red Bull Racing,Austin,2022,MEDIUM-HARD-MEDIUM
1443,RUS,Mercedes,Austin,2022,MEDIUM-HARD-HARD-SOFT
1444,NOR,McLaren,Austin,2022,MEDIUM-HARD-HARD
1445,ALO,Alpine,Austin,2022,HARD-MEDIUM-HARD
1446,VET,Aston Martin,Austin,2022,MEDIUM-MEDIUM-HARD
1447,MAG,Haas F1 Team,Austin,2022,HARD-MEDIUM
1448,TSU,RB,Austin,2022,MEDIUM-MEDIUM-HARD
1449,OCO,Alpine,Austin,2022,HARD-HARD-MEDIUM
1450,ZHO,Kick Sauber,Austin,2022,MEDIUM-HARD-HARD
1451,ALB,Williams,Austin,2022,MEDIUM-MEDIUM-HARD
1452,GAS,RB,Austin,2022,MEDIUM-HARD-HARD
1453,MSC,Haas F1 Team,Austin,2022,HARD-MEDIUM-HARD
1454,RIC,McLaren,Austin,2022,MEDIUM-HARD-HARD
1455,LAT,Williams,Austin,2022,MEDIUM-MEDIUM-HARD
1456,STR,Aston Martin,Austin,2022,MEDIUM-MEDIUM
1457,BOT,Kick Sauber,Austin,2022,MEDIUM-HARD
1458,SAI,Ferrari,Austin,2022,MEDIUM
1459,VER,Red Bull Racing,Mexico,2022,SOFT-MEDIUM
1460,HAM,Mercedes,Mexico,2022,MEDIUM-HARD
1461,PER,Red Bull Racing,Mexico,2022,SOFT-MEDIUM
1462,RUS,Mercedes,Mexico,2022,MEDIUM-HARD-SOFT
1463,SAI,Ferrari,Mexico,2022,SOFT-MEDIUM
1464,LEC,Ferrari,Mexico,2022,SOFT-MEDIUM
1465,RIC,McLaren,Mexico,2022,MEDIUM-SOFT
1466,OCO,Alpine,Mexico,2022,MEDIUM-HARD
1467,NOR,McLaren,Mexico,2022,MEDIUM-HARD
1468,BOT,Kick Sauber,Mexico,2022,MEDIUM-HARD
1469,GAS,RB,Mexico,2022,MEDIUM-SOFT
1470,ALB,Williams,Mexico,2022,MEDIUM-SOFT
1471,ZHO,Kick Sauber,Mexico,2022,MEDIUM-SOFT
1472,VET,Aston Martin,Mexico,2022,SOFT-MEDIUM
1473,STR,Aston Martin,Mexico,2022,MEDIUM-SOFT-SOFT
1474,MSC,Haas F1 Team,Mexico,2022,SOFT-MEDIUM
1475,MAG,Haas F1 Team,Mexico,2022,MEDIUM-SOFT
1476,LAT,Williams,Mexico,2022,SOFT-HARD-SOFT
1477,ALO,Alpine,Mexico,2022,MEDIUM-HARD
1478,TSU,RB,Mexico,2022,SOFT-MEDIUM
1479,RUS,Mercedes,Brazil,2022,SOFT-MEDIUM-SOFT
1480,HAM,Mercedes,Brazil,2022,SOFT-MEDIUM-SOFT
1481,SAI,Ferrari,Brazil,2022,MEDIUM-SOFT-MEDIUM-SOFT
1482,LEC,Ferrari,Brazil,2022,MEDIUM-MEDIUM-SOFT-SOFT
1483,ALO,Alpine,Brazil,2022,MEDIUM-MEDIUM-MEDIUM-SOFT
1484,VER,Red Bull Racing,Brazil,2022,SOFT-MEDIUM-SOFT-SOFT
1485,PER,Red Bull Racing,Brazil,2022,SOFT-MEDIUM-MEDIUM
1486,OCO,Alpine,Brazil,2022,SOFT-MEDIUM-SOFT
1487,BOT,Kick Sauber,Brazil,2022,SOFT-MEDIUM-SOFT
1488,STR,Aston Martin,Brazil,2022,MEDIUM-MEDIUM-SOFT
1489,VET,Aston Martin,Brazil,2022,SOFT-MEDIUM-MEDIUM
1490,ZHO,Kick Sauber,Brazil,2022,SOFT-MEDIUM-SOFT
1491,MSC,Haas F1 Team,Brazil,2022,MEDIUM-SOFT-SOFT
1492,GAS,RB,Brazil,2022,SOFT-MEDIUM-SOFT-MEDIUM
1493,ALB,Williams,Brazil,2022,HARD-MEDIUM-MEDIUM-MEDIUM
1494,LAT,Williams,Brazil,2022,MEDIUM-HARD-MEDIUM-SOFT
1495,TSU,RB,Brazil,2022,MEDIUM-SOFT-SOFT-MEDIUM
1496,NOR,McLaren,Brazil,2022,SOFT-MEDIUM-SOFT
1497,MAG,Haas F1 Team,Brazil,2022,MEDIUM
1498,RIC,McLaren,Brazil,2022,SOFT
1499,VER,Red Bull Racing,Abu Dhabi,2022,MEDIUM-HARD
1500,LEC,Ferrari,Abu Dhabi,2022,MEDIUM-HARD
1501,PER,Red Bull Racing,Abu Dhabi,2022,MEDIUM-HARD-HARD
1502,SAI,Ferrari,Abu Dhabi,2022,MEDIUM-HARD-HARD
1503,RUS,Mercedes,Abu Dhabi,2022,MEDIUM-HARD-MEDIUM
1504,NOR,McLaren,Abu Dhabi,2022,MEDIUM-HARD-MEDIUM
1505,OCO,Alpine,Abu Dhabi,2022,MEDIUM-HARD-HARD
1506,STR,Aston Martin,Abu Dhabi,2022,MEDIUM-HARD-MEDIUM
1507,RIC,McLaren,Abu Dhabi,2022,MEDIUM-HARD
1508,VET,Aston Martin,Abu Dhabi,2022,MEDIUM-HARD
1509,TSU,RB,Abu Dhabi,2022,MEDIUM-HARD-SOFT
1510,ZHO,Kick Sauber,Abu Dhabi,2022,MEDIUM-HARD-SOFT
1511,ALB,Williams,Abu Dhabi,2022,MEDIUM-HARD-MEDIUM
1512,GAS,RB,Abu Dhabi,2022,SOFT-HARD
1513,BOT,Kick Sauber,Abu Dhabi,2022,HARD-MEDIUM
1514,MSC,Haas F1 Team,Abu Dhabi,2022,MEDIUM-HARD-MEDIUM
1515,MAG,Haas F1 Team,Abu Dhabi,2022,HARD-MEDIUM
1516,HAM,Mercedes,Abu Dhabi,2022,MEDIUM-HARD
1517,LAT,Williams,Abu Dhabi,2022,MEDIUM-HARD-MEDIUM
1518,ALO,Alpine,Abu Dhabi,2022,MEDIUM-HARD
1519,VER,Red Bull Racing,Monza,2022,SOFT-MEDIUM-SOFT
1520,LEC,Ferrari,Monza,2022,SOFT-MEDIUM-SOFT-SOFT
1521,RUS,Mercedes,Monza,2022,SOFT-HARD-SOFT
1522,SAI,Ferrari,Monza,2022,MEDIUM-SOFT-SOFT
1523,HAM,Mercedes,Monza,2022,MEDIUM-SOFT
